Product Name,Price,Rating,Reviews,Photo URL
إنفينيكس سمارت 10 ثنائي الشريحة 3+3 جيجابايت + 64 جيجابايت أيريس أزرق - النسخة الشرق أوسطية,5099.0,4.4,724,https://f.nooncdn.com/p/pnsku/N70182485V/45/_/1764242115/8defba4c-6395-4a25-b57d-25f546158fd8.jpg?width=800
سامسونج جالاكسي A17 ثنائي الشريحة 4G أسود 6GB RAM 128GB - نسخة الشرق الأوسط,9999.0,4.5,1.2K,https://f.nooncdn.com/p/pzsku/Z31ECA424BE18ABD648A3Z/45/_/1774535660/afd48ee6-3cda-4f22-ad0e-9a67c06e5e5a.jpg?width=800
إنفينيكس سمارت 10 ثنائي الشريحة 3+3 جيجابايت + 64 جيجابايت أسود أنيق - النسخة الشرق أوسطية,5199.0,4.4,724,https://f.nooncdn.com/p/pnsku/N70182486V/45/_/1764236026/e03538e4-40c8-4d9a-a8bc-dde18d3a138a.jpg?width=800
سامسونج جالاكسي A17 ثنائي الشريحة 4G أسود 8GB RAM 256GB - نسخة الشرق الأوسط,11999.0,4.5,1.2K,https://f.nooncdn.com/p/pzsku/ZC23004F18866BE534A7CZ/45/_/1772091159/8bc2da34-2ffd-41e2-95d5-07bf76987f9b.jpg?width=800
سامسونج جالاكسي A07 ثنائي الشريحة أسود 4GB 128GB 4G - نسخة الشرق الأوسط,7240.0,4.5,2.0K,https://f.nooncdn.com/p/pzsku/Z549671868916F4FF4EDDZ/45/_/1772090996/b1db39df-fa0e-4616-a5e5-39b6011b45c1.jpg?width=800
إنفينيكس هوت 60 برو ثنائي الشريحة أنيق أسود 8+8 جيجابايت رام 256 جيجابايت 4G - نسخة الشرق الأوسط,9700.0,4.6,166,https://f.nooncdn.com/p/pnsku/N70204530V/45/_/1766380519/eef573c1-b962-4acd-a306-bd058e367f74.jpg?width=800
إيتيل A90 ثنائي الشريحة أسود متلألئ 3+5 جيجابايت رام 64 جيجابايت 4G - نسخة الشرق الأوسط,4149.0,4.2,2.2K,https://f.nooncdn.com/p/pnsku/N70169194V/45/_/1745173698/239aba74-60b5-48bd-b711-8f64220eda43.jpg?width=800
إنفينيكس سمارت 10 ثنائي الشريحة 4+4 جيجابايت + 128 جيجابايت - إصدار الشرق الأوسط,6342.0,4.4,1.3K,https://f.nooncdn.com/p/pnsku/N70182484V/45/_/1764242479/1389d7c9-ddf6-4336-906c-291f7ba2afaa.jpg?width=800
فيفو V50 لايت AI 5G ثنائي الشريحة ذهب تيتانيوم 12 جيجابايت RAM 256 جيجابايت - نسخة الشرق الأوسط,14999.0,4.3,1.3K,https://f.nooncdn.com/p/pnsku/N70166558V/45/_/1744199138/0ef7173f-2377-4ad9-b7e0-c3ef71b00615.jpg?width=800
سامسونج جالاكسي A07 ثنائي الشريحة لون بنفسجي فاتح 8GB 256GB 4G - نسخة الشرق الأوسط,9845.0,5.0,9,https://f.nooncdn.com/p/pzsku/ZBD74DD5FAFD27D642EC4Z/45/_/1772091127/f7ce6a39-f443-47ac-8cf2-cbd300c10d2a.jpg?width=800
إنفينيكس نوت 50 إس ثنائي الشريحة درفت بحرية 8 جيجابايت رام 256 جيجابايت 5G - نسخة الشرق الأوسط,12999.0,4.4,5.8K,https://f.nooncdn.com/p/pnsku/N70166625V/45/_/1744196941/c1be3b80-ca76-49a9-974f-e7b34bf8206b.jpg?width=800
سامسونج هاتف سامسونج جالاكسي A07 ثنائي الشريحة، أسود، ذاكرة وصول عشوائي 4 جيجابايت، سعة تخزين 64 جيجابايت، يدعم شبكة الجيل الرابع - إصدار الشرق الأوسط,6390.0,4.5,2.0K,https://f.nooncdn.com/p/pzsku/Z5645E5D8D9F15AE77B30Z/45/_/1772091256/d730584a-14a2-432e-a2f7-f15b458203b1.jpg?width=800
سامسونج جالاكسي A07 ثنائي الشريحة أسود 6 جيجابايت رام 128 جيجابايت 4G - نسخة الشرق الأوسط,7899.0,4.5,84,https://f.nooncdn.com/p/pzsku/Z4E9629A409CCB1DC66CDZ/45/_/1772091223/8511140d-7081-4392-a33d-b203d746f358.jpg?width=800
سامسونج جالاكسي A07 ثنائي الشريحة لون بنفسجي فاتح 6 جيجابايت رام 128 جيجابايت 4G - نسخة الشرق الأوسط,7820.0,4.5,84,https://f.nooncdn.com/p/pzsku/Z97AD0B4537E220DE8B3CZ/45/_/1772090803/9262afa3-9a95-410a-8895-769faafa6eda.jpg?width=800
هونور X6c ثنائي الشريحة 4G أبيض ضوء القمر 6GB RAM 256GB - نسخة الشرق الأوسط,8526.0,4.5,2.5K,https://f.nooncdn.com/p/pnsku/N70185234V/45/_/1764242128/157afbe5-d4c0-4f60-b031-feecbe5617b2.jpg?width=800
هونور X6c ثنائي الشريحة 4G لون المحيط السماوي 6GB RAM 128GB - نسخة الشرق الأوسط,7730.0,4.5,2.5K,https://f.nooncdn.com/p/pnsku/N70185238V/45/_/1764242327/81f1a708-d163-4271-a71c-6d102f75231e.jpg?width=800
إنفينيكس سمارت 10 ثنائي الشريحة 3+3 جيجابايت + 64 جيجابايت لون ذهب الغسق - النسخة الشرق أوسطية,5408.0,4.4,724,https://f.nooncdn.com/p/pnsku/N70182441V/45/_/1764236065/9b097782-44b7-4b86-8b62-fd4ba94bdf3f.jpg?width=800
فيفو V50 لايت AI 5G ثنائي الشريحة - أسود شبح 12 جيجابايت RAM 256 جيجابايت - نسخة الشرق الأوسط,14999.0,4.3,1.3K,https://f.nooncdn.com/p/pnsku/N70166557V/45/_/1744199138/f0dbb9f7-19ac-4cb5-b00a-4fa6d2c19fda.jpg?width=800
سامسونج جالاكسي A17 ثنائي الشريحة 4G أزرق فاتح 8GB RAM 256GB - نسخة الشرق الأوسط,12099.0,4.5,1.2K,https://f.nooncdn.com/p/pzsku/Z4E5E81E4C7642DCF7DB2Z/45/_/1772091394/55f601c7-2308-461c-b9ec-92e2330db756.jpg?width=800
سامسونج جالاكسي A07 ثنائي الشريحة أسود 8GB 256GB 4G - نسخة الشرق الأوسط,10200.0,4.8,12,https://f.nooncdn.com/p/pzsku/ZE143CF25056CC44C9321Z/45/_/1772091267/6856ed26-b385-42e3-9719-9b17148bb407.jpg?width=800
إنفينيكس سمارت 10 ثنائي الشريحة 4+4 جيجابايت + 128 جيجابايت لون ذهب الغسق - النسخة الشرق أوسطية,6344.0,4.4,1.3K,https://f.nooncdn.com/p/pnsku/N70182483V/45/_/1764242055/d1211458-a539-48f7-907d-341a4c4c968b.jpg?width=800
سامسونج جالاكسي A17 ثنائي الشريحة 4G أسود 4GB RAM 128GB - نسخة الشرق الأوسط,9246.0,4.5,1.2K,https://f.nooncdn.com/p/pzsku/Z12A88795FAFFA6771411Z/45/_/1772091265/5801e654-c898-4d02-b8c8-30600ddb5fb4.jpg?width=800
أتش أم دي هاتف باربي 4G وردي,3179.0,4.5,297,https://f.nooncdn.com/p/pnsku/N70124701V/45/_/1764242154/926d0078-27e8-4655-8118-6dba066458fa.jpg?width=800
سامسونج جالاكسي A07 ثنائي الشريحة لون بنفسجي فاتح 4GB 128GB 4G - نسخة الشرق الأوسط,7556.0,4.5,2.0K,https://f.nooncdn.com/p/pzsku/Z31B2B74DFB81F252A93CZ/45/_/1772091245/463e6b5e-1c96-48c7-8f18-9b1a657c49c0.jpg?width=800
سامسونج هاتف جالاكسي A07 ثنائي الشريحة، لون بنفسجي فاتح، ذاكرة 4 جيجابايت، سعة تخزين 64 جيجابايت، يدعم شبكة الجيل الرابع - إصدار الشرق الأوسط,6470.0,4.5,2.0K,https://f.nooncdn.com/p/pzsku/Z0F5E132F39DBC07AA831Z/45/_/1772091407/98fd031e-2be6-43d1-985f-bfd15d5b5eb3.jpg?width=800
سامسونج جالاكسي S26 ألترا ثنائي الشريحة كوبالت بنفسجي 12 جيجابايت رام 256 جيجابايت 5G - نسخة الشرق الأوسط,82888.0,4.7,218,https://f.nooncdn.com/p/pzsku/ZB48C953F8F55D473D0AEZ/45/_/1772091352/0c675d1b-377d-4bae-932e-89a64f0a8d27.jpg?width=800
إنفينيكس سمارت 10 ثنائي الشريحة 3+3 جيجابايت + 64 جيجابايت فضي تيتانيوم - نسخة الشرق الأوسط,5408.0,4.4,724,https://f.nooncdn.com/p/pnsku/N70182440V/45/_/1764242227/ac8599ca-ec75-4212-b18c-19f79d16f5cb.jpg?width=800
ريل مي ريلمي 14T ثنائي الشريحة أسود أوبسيديان 8 جيجابايت رام 256 جيجابايت 5G - نسخة الشرق الأوسط,12999.0,4.6,71,https://f.nooncdn.com/p/pnsku/N70177386V/45/_/1764236071/62499aa0-1516-4950-b949-a23bf225fb84.jpg?width=800
أوبو هاتف رينو 15F ثنائي الشريحة أزرق أوريون 12 جيجابايت رام 256 جيجابايت 5G - النسخة الشرق أوسطية,22975.0,4.2,136,https://f.nooncdn.com/p/pnsku/N70277526V/45/_/1768220628/0c2f0707-f6e1-470b-8300-c753e6b48371.jpg?width=800
سامسونج جالاكسي A17 ثنائي الشريحة 4G رمادي 4GB RAM 128GB - نسخة الشرق الأوسط,9275.0,4.5,1.2K,https://f.nooncdn.com/p/pzsku/Z7101B8F305CC698C10C8Z/45/_/1772091394/d04c745d-d85d-497d-b61a-0809345e7c26.jpg?width=800
إنفينيكس نوت 50 إس ثنائي الشريحة أحمر بورغندي 8 جيجابايت رام 256 جيجابايت 5G - نسخة الشرق الأوسط,13599.0,4.4,5.8K,https://f.nooncdn.com/p/pnsku/N70166626V/45/_/1744196931/6b97da5a-8692-4684-b6ec-4a8867b08d05.jpg?width=800
سامسونج جالاكسي A17 ثنائي الشريحة 4G أزرق فاتح 6GB RAM 128GB - نسخة الشرق الأوسط,9999.0,4.5,1.2K,https://f.nooncdn.com/p/pzsku/ZC7A5E2CA5CE49FABEBADZ/45/_/1772091167/e86b6296-ae7a-4b01-9d92-2afebdf016c0.jpg?width=800
أوبو رينو 15F ثنائي الشريحة أزرق غسق 12 جيجابايت رام 256 جيجابايت 5G - النسخة الشرق أوسطية,22975.0,4.2,136,https://f.nooncdn.com/p/pnsku/N70277519V/45/_/1768215103/5094cec7-1edc-4e3b-9416-4ce5eae45234.jpg?width=800
